source;target;message;trackingID;unknown
terminal-proxy;bank-service;checkBalance;id-1626254472036;1626254472039
bank-service;balance-service;checkBalance;id-1626254472036;1626254472041
atm-terminal;terminal-proxy;printReceipt;id-1626254472343;1626254472343
terminal-proxy;bank-service;printReceipt;id-1626254472343;1626254472346
atm-terminal;terminal-proxy;checkBalance;id-1626254472664;1626254472664
terminal-proxy;bank-service;checkBalance;id-1626254472664;1626254472667
bank-service;balance-service;checkBalance;id-1626254472664;1626254472670
atm-terminal;terminal-proxy;printReceipt;id-1626254472944;1626254472944
terminal-proxy;bank-service;printReceipt;id-1626254472944;1626254472948
atm-terminal;terminal-proxy;checkBalance;id-1626254473255;1626254473255
terminal-proxy;bank-service;checkBalance;id-1626254473255;1626254473258
bank-service;balance-service;checkBalance;id-1626254473255;1626254473260
atm-terminal;terminal-proxy;printReceipt;id-1626254473546;1626254473546
terminal-proxy;bank-service;printReceipt;id-1626254473546;1626254473549
atm-terminal;terminal-proxy;checkBalance;id-1626254473896;1626254473896
terminal-proxy;bank-service;checkBalance;id-1626254473896;1626254473900
bank-service;balance-service;checkBalance;id-1626254473896;1626254473901
atm-terminal;terminal-proxy;printReceipt;id-1626254474152;1626254474152
terminal-proxy;bank-service;printReceipt;id-1626254474152;1626254474156
atm-terminal;terminal-proxy;depositRequest;id-1626254475177;1626254475177
terminal-proxy;bank-service;depositRequest;id-1626254475177;1626254475182
bank-service;balance-service;depositRequest;id-1626254475177;1626254475183
atm-terminal;terminal-proxy;depositRequest;id-1626254476727;1626254476727
terminal-proxy;bank-service;depositRequest;id-1626254476727;1626254476730
bank-service;balance-service;depositRequest;id-1626254476727;1626254476732
atm-terminal;terminal-proxy;authenticationRequest;id-1626254477548;1626254477548
terminal-proxy;bank-service;authenticationRequest;id-1626254477548;1626254477551
bank-service;auth-server;autenticationRequest;id-1626254477548;1626254477552
atm-terminal;terminal-proxy;authenticationRequest;id-1626254478364;1626254478364
terminal-proxy;bank-service;authenticationRequest;id-1626254478364;1626254478367
bank-service;auth-server;autenticationRequest;id-1626254478364;1626254478369
atm-terminal;terminal-proxy;authenticationRequest;id-1626254479109;1626254479109
terminal-proxy;bank-service;authenticationRequest;id-1626254479109;1626254479112
bank-service;auth-server;autenticationRequest;id-1626254479109;1626254479114
atm-terminal;terminal-proxy;authenticationRequest;id-1626254479796;1626254479796
terminal-proxy;bank-service;authenticationRequest;id-1626254479796;1626254479799
bank-service;auth-server;autenticationRequest;id-1626254479796;1626254479800
atm-terminal;terminal-proxy;authenticationRequest;id-1626254480490;1626254480490
terminal-proxy;bank-service;authenticationRequest;id-1626254480490;1626254480493
bank-service;auth-server;autenticationRequest;id-1626254480490;1626254480495
atm-terminal;terminal-proxy;authenticationRequest;id-1626254481153;1626254481153
terminal-proxy;bank-service;authenticationRequest;id-1626254481153;1626254481157
bank-service;auth-server;autenticationRequest;id-1626254481153;1626254481158
atm-terminal;terminal-proxy;authenticationRequest;id-1626254481866;1626254481866
terminal-proxy;bank-service;authenticationRequest;id-1626254481866;1626254481869
bank-service;auth-server;autenticationRequest;id-1626254481866;1626254481871
atm-terminal;terminal-proxy;withdrawalRequest;id-1626254482886;1626254482886
terminal-proxy;bank-service;withdrawalRequest;id-1626254482886;1626254482889
bank-service;balance-service;withdrawalRequest;id-1626254482886;1626254482891
atm-terminal;terminal-proxy;withdrawalRequest;id-1626254483806;1626254483806
terminal-proxy;bank-service;withdrawalRequest;id-1626254483806;1626254483809
bank-service;balance-service;withdrawalRequest;id-1626254483806;1626254483811
atm-terminal;terminal-proxy;withdrawalRequest;id-1626254485195;1626254485195
terminal-proxy;bank-service;withdrawalRequest;id-1626254485195;1626254485198
bank-service;balance-service;withdrawalRequest;id-1626254485195;1626254485200
atm-terminal;terminal-proxy;depositRequest;id-1626254486170;1626254486170
terminal-proxy;bank-service;depositRequest;id-1626254486170;1626254486174
bank-service;balance-service;depositRequest;id-1626254486170;1626254486175
atm-terminal;terminal-proxy;depositRequest;id-1626254487013;1626254487013
terminal-proxy;bank-service;depositRequest;id-1626254487013;1626254487015
bank-service;balance-service;depositRequest;id-1626254487013;1626254487017
atm-terminal;terminal-proxy;depositRequest;id-1626254487854;1626254487854
terminal-proxy;bank-service;depositRequest;id-1626254487854;1626254487857
bank-service;balance-service;depositRequest;id-1626254487854;1626254487859
