Column1,Column2,Column3,Column4,Column5,Column6
"Jun 1, 2021 @ 09:07:05.401",Event,Stream.Routing.Projector,e839779de4c041fda1b2adc0e5e27015,Inkoopfactuur.InkoopfactuurAggregateRoot,Inkoopfactuur.Sync_Event
"Jun 1, 2021 @ 09:07:05.400",Event,Routing.Projector,e839779de4c041fda1b2adc0e5e27015,Inkoopfactuur.InkoopfactuurAggregateRoot,Inkoopfactuur.Sync_Event
"Jun 1, 2021 @ 09:07:05.072",Event,Inkoopfactuur.InkoopfactuurProcessRouter,e839779de4c041fda1b2adc0e5e27015,InputInkoopfactuur.InputInkoopfactuurProjector,Inkoopfactuur.UpdateInkoopfactuurRequestedEvent
"Jun 1, 2021 @ 09:07:05.050",Event,InputInkoopfactuur.InputInkoopfactuurProjector,e839779de4c041fda1b2adc0e5e27015,InputInkoopfactuur.InputInkoopfactuurAggregateRoot,InputInkoopfactuur.InputInkoopfactuurDraftCompletedEvent
"Jun 1, 2021 @ 09:07:05.008",Event,InputInkoopfactuur.InputInkoopfactuurProjector,a9c29af30f8c4cffbf3120d1dc7830e2,InputInkoopfactuur.InputInkoopfactuurAggregateRoot,InputInkoopfactuur.InputInkoopfactuurReadyEvent
"Jun 1, 2021 @ 09:07:05.007",Event,InputInkoopfactuur.InputInkoopfactuurProjector,a9c29af30f8c4cffbf3120d1dc7830e2,InputInkoopfactuur.InputInkoopfactuurAggregateRoot,InputInkoopfactuur.InputInkoopfactuurChildUpdatedEvent
"Jun 1, 2021 @ 09:07:05.006",Event,InputInkoopfactuur.InputInkoopfactuurProjector,a9c29af30f8c4cffbf3120d1dc7830e2,InputInkoopfactuur.InputInkoopfactuurAggregateRoot,InputInkoopfactuur.InputInkoopfactuurChildUpdatedEvent
"Jun 1, 2021 @ 09:07:05.004",Event,InputInkoopfactuur.InputInkoopfactuurProjector,a9c29af30f8c4cffbf3120d1dc7830e2,InputInkoopfactuur.InputInkoopfactuurAggregateRoot,InputInkoopfactuur.InputInkoopfactuurUpdatedEvent
"Jun 1, 2021 @ 09:07:04.999",Event,InputBetaling.InputBetalingProjector,a9c29af30f8c4cffbf3120d1dc7830e2,InputBetaling.InputBetalingAggregateRoot,InputBetaling.InputBetalingUpdatedEvent
"Jun 1, 2021 @ 09:07:01.324",Event,InputInkoopfactuur.InputInkoopfactuurProjector,5e99a04bc8204f90820a6b326bc7226b,InputInkoopfactuur.InputInkoopfactuurAggregateRoot,InputInkoopfactuur.InputInkoopfactuurReadyEvent
